transaction_id,first_name,last_name,email_id,transaction_date,transaction_amount,financial_manager,investment_return,country,account_number,phone,loan_amount,credit_score,interest_rate,account_holder_age,balance
1,Rebecka,Gauld,rgauld0@csmonitor.com,1/5/2024,$677.38,Rebecka Gauld,$198.04,Russia,30702,445-828-9092,$927.15,858,4.3,67,2477
2,Curry,Croft,ccroft1@ameblo.jp,9/29/2024,$437.01,Curry Croft,$335.51,Russia,41273,584-853-3265,$222.57,1000,7.9,41,3098
3,Abraham,Tailby,atailby2@bloglovin.com,12/11/2023,$434.19,Abraham Tailby,$256.47,Indonesia,12418,462-321-2570,$880.30,567,6.4,44,6579
4,Paola,Clery,pclery3@msu.edu,2/5/2024,$259.13,Paola Clery,$626.78,Thailand,73497,116-511-6546,$838.26,874,11.3,49,8456
5,Kerk,Jellico,kjellico4@wikipedia.org,4/11/2024,$360.56,Kerk Jellico,$98.33,Russia,37688,454-281-4816,$195.56,896,5.9,41,5019
6,Edna,Sissel,esissel5@blinklist.com,2/11/2024,$949.98,Edna Sissel,$604.77,Indonesia,17617,823-426-4240,$293.29,911,12.7,26,1255
7,Rena,Musto,rmusto6@lycos.com,10/26/2024,$915.25,Rena Musto,$143.58,Macedonia,22843,144-415-9594,$751.24,663,11.0,33,5612
8,Emmit,Blaszczynski,eblaszczynski7@github.com,4/23/2024,$997.50,Emmit Blaszczynski,$661.68,Brazil,77800,350-761-0691,$299.68,598,11.5,35,6215
9,Trina,Puckinghorne,tpuckinghorne8@csmonitor.com,9/8/2024,$121.86,Trina Puckinghorne,$649.79,China,20267,333-446-2951,$195.87,607,12.5,61,5481
10,Nikos,Hazley,nhazley9@technorati.com,6/23/2024,$704.12,Nikos Hazley,$812.45,Sweden,46145,719-217-2465,$722.23,766,9.8,37,8650
11,Anne,Goreisr,agoreisra@delicious.com,3/31/2024,$294.24,Anne Goreisr,$788.01,Laos,21686,591-423-8618,$327.20,704,11.1,44,7406
12,Pepita,Bratcher,pbratcherb@digg.com,10/21/2024,$634.13,Pepita Bratcher,$137.97,Thailand,29609,859-769-7774,$364.91,775,12.0,25,3769
13,Dina,Okeshott,dokeshottc@topsy.com,12/4/2023,$573.22,Dina Okeshott,$221.64,Philippines,49488,497-771-2107,$936.15,733,10.0,63,7028
14,Florinda,Epinay,fepinayd@census.gov,3/3/2024,$334.28,Florinda Epinay,$994.46,China,80477,569-526-4818,$246.12,894,9.7,20,8846
15,Darby,Stockbridge,dstockbridgee@zimbio.com,11/28/2024,$586.40,Darby Stockbridge,$5.39,Peru,79793,503-165-5530,$300.95,547,6.5,55,5068
16,Rebecca,Pabst,rpabstf@360.cn,7/10/2024,$408.45,Rebecca Pabst,$52.78,Sweden,69078,329-706-9675,$497.54,799,11.7,25,8804
17,Cilka,Dinnage,cdinnageg@miibeian.gov.cn,7/12/2024,$938.75,Cilka Dinnage,$857.31,China,35120,173-898-5756,$240.36,732,7.7,46,7474
18,Robers,Neeves,rneevesh@sourceforge.net,5/3/2024,$745.96,Robers Neeves,$659.21,Indonesia,35753,231-416-6240,$769.95,678,10.9,55,9531
19,Jessalyn,Dessent,jdessenti@nba.com,3/3/2024,$549.10,Jessalyn Dessent,$265.24,Poland,28061,609-297-1044,$690.83,688,8.0,31,5992
20,Erminia,Winley,ewinleyj@cpanel.net,6/2/2024,$40.15,Erminia Winley,$436.36,China,18821,113-531-8660,$942.34,672,6.2,52,1531
21,Drusi,Mothersdale,dmothersdalek@biblegateway.com,1/12/2024,$185.79,Drusi Mothersdale,$367.02,China,50396,753-748-6050,$839.47,832,4.9,40,5326
22,Arnie,Clementet,aclementetl@behance.net,10/9/2024,$354.62,Arnie Clementet,$907.08,China,50051,399-499-0985,$349.13,946,2.3,47,9498
23,Darsey,Center,dcenterm@plala.or.jp,7/23/2024,$231.60,Darsey Center,$623.03,Gambia,56934,982-212-1063,$841.91,531,4.5,40,2188
24,Nydia,Raccio,nraccion@discovery.com,8/1/2024,$914.61,Nydia Raccio,$781.04,Japan,51535,604-332-0937,$439.93,650,2.4,21,2632
25,Izabel,Reinard,ireinardo@furl.net,1/26/2024,$450.99,Izabel Reinard,$699.80,United States,80571,423-783-3407,$340.63,681,12.3,65,8274
