transaction_id,first_name,last_name,email_id,transaction_date,transaction_amount,financial_manager,investment_return,country,account_number,phone,loan_amount,credit_score,interest_rate,account_holder_age,balance,approved,next_renewal
1,Kaela,Bubbear,kbubbear0@gmpg.org,3/3/2024,$597.30,Kaela Bubbear,$526.25,Dominican Republic,86437,995-334-4277,$930.08,708,4.7,29,6896,true,9/23/2024
2,Jennica,Midghall,jmidghall1@slashdot.org,10/13/2024,$972.36,Jennica Midghall,$788.01,China,75524,117-979-6150,$815.38,752,4.4,43,9513,false,4/26/2024
3,Dianna,Hurry,dhurry2@apple.com,12/4/2023,$913.19,Dianna Hurry,$432.96,Dominican Republic,65523,860-127-8430,$534.32,662,8.0,59,3033,false,7/5/2024
4,Valdemar,Longwood,vlongwood3@illinois.edu,5/19/2024,$524.43,Valdemar Longwood,$946.38,Peru,21498,947-624-8043,$734.93,983,12.5,47,2755,false,6/8/2024
5,Karlotte,Illesley,killesley4@mozilla.com,2/24/2024,$108.42,Karlotte Illesley,$963.55,United States,50397,727-861-2338,$985.09,766,4.5,62,8821,true,5/20/2024
6,Edithe,Kerkham,ekerkham5@flickr.com,6/28/2024,$933.71,Edithe Kerkham,$251.81,China,47977,223-786-1680,$840.62,932,7.0,53,9327,false,8/18/2024
7,Bertine,Tanby,btanby6@vinaora.com,8/22/2024,$432.03,Bertine Tanby,$866.99,Poland,46240,106-993-4193,$872.90,843,11.8,37,5156,false,4/18/2024
8,Trudy,Couser,tcouser7@taobao.com,3/4/2024,$175.30,Trudy Couser,$633.76,Indonesia,57815,995-602-0889,$985.67,861,12.9,26,1976,false,2/7/2024
9,Linnell,Clymer,lclymer8@wunderground.com,10/8/2024,$871.77,Linnell Clymer,$572.79,Philippines,43335,841-791-5760,$199.70,785,5.3,20,3663,true,3/19/2024
10,Marika,Panchin,mpanchin9@skype.com,5/30/2024,$353.46,Marika Panchin,$824.76,Japan,14161,425-194-1293,$434.76,878,6.5,41,1147,true,9/30/2024
11,Fern,Castello,fcastelloa@phoca.cz,2/7/2024,$625.54,Fern Castello,$539.65,Indonesia,70085,356-952-3673,$421.83,788,11.3,33,3583,false,9/25/2024
